[2022-02-09 18:06:14][INFO] Alpha VS Rate program start!
[2022-02-09 18:07:44][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 63                           
[2022-02-09 18:07:45][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 55                           
[2022-02-09 18:07:46][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 55                           
[2022-02-09 18:07:47][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 69                           
[2022-02-09 18:07:48][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 63                           
[2022-02-09 18:07:49][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 55                           
[2022-02-09 18:07:50][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 60                           
[2022-02-09 18:07:51][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 51                           
[2022-02-09 18:07:52][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 64                           
[2022-02-09 18:07:54][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 117                           
[2022-02-09 18:07:55][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 52                           
[2022-02-09 18:07:56][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 64                           
[2022-02-09 18:07:57][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 67                           
[2022-02-09 18:07:58][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 62                           
[2022-02-09 18:07:59][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 59                           
[2022-02-09 18:08:00][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 68                           
[2022-02-09 18:08:01][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 57                           
[2022-02-09 18:08:02][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 62                           
[2022-02-09 18:08:03][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 55                           
[2022-02-09 18:08:04][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 57                           
[2022-02-09 18:08:05][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 60                           
[2022-02-09 18:08:06][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 55                           
[2022-02-09 18:08:07][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 62                           
[2022-02-09 18:08:08][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 61                           
[2022-02-09 18:08:09][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 58                           
[2022-02-09 18:08:10][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 62                           
[2022-02-09 18:08:11][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 61                           
[2022-02-09 18:08:12][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 61                           
[2022-02-09 18:08:13][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 62                           
[2022-02-09 18:08:14][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 63                           
[2022-02-09 18:08:15][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 59                           
[2022-02-09 18:08:16][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 55                           
[2022-02-09 18:08:17][INFO] N: 1000, alpha: 0.8500, success: True, iteration: 66                           
[2022-02-09 18:08:18][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 64                           
[2022-02-09 18:08:20][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 60                           
[2022-02-09 18:08:21][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 61                           
[2022-02-09 18:08:22][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 58                           
[2022-02-09 18:08:22][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 55                           
[2022-02-09 18:08:24][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 73                           
[2022-02-09 18:08:25][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 61                           
[2022-02-09 18:08:26][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 67                           
[2022-02-09 18:08:27][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 63                           
[2022-02-09 18:08:28][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 65                           
[2022-02-09 18:08:29][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 56                           
[2022-02-09 18:08:30][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 56                           
[2022-02-09 18:08:31][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 71                           
[2022-02-09 18:08:32][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 59                           
[2022-02-09 18:08:33][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 60                           
[2022-02-09 18:08:34][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 57                           
[2022-02-09 18:08:35][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 58                           
[2022-02-09 18:08:36][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 51                           
[2022-02-09 18:08:37][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 56                           
[2022-02-09 18:08:41][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 227                           
[2022-02-09 18:08:42][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 56                           
[2022-02-09 18:08:42][INFO] N: 1000, alpha: 0.8520, success: True, iteration: 53                           
